,lineNo,assgNo,prevFixDur,firstfixDur,firstPassFixDur,nextFixDur,firstSaccLen,lastSaccLen,prevFixPos,landingPos,leavingPos,totalFixDur,meanFixDur,regressLen,regressDur,pupilDiamMax,pupilDiamLag,timePrtctg,titleNo,wordNo,label
59,9805.0,302.0,100.0,139.0,139.0,159.0,120.3755,160.1811,75.0067,48.0521,32.249,139.0,139.0,0.0,0.0,0.122,0.258,0.0281,4,3,0
60,6230.0,183.0,159.0,139.0,139.0,219.0,349.7417,95.0,433.2955,87.0014,81.7634,159.0,159.0,0.0,159.0,0.1256,0.3466,0.0153,7,1,0
61,2254.0,72.0,299.0,20.0,20.0,139.0,58.4337,61.0082,40.4475,63.1229,62.1772,20.0,20.0,0.0,0.0,-0.1566,0.4364,0.003,3,8,0
62,6549.0,194.0,99.0,139.0,139.0,298.0,430.0012,224.5802,374.0856,60.7063,74.3942,139.0,139.0,0.0,278.0,0.2781,0.2165,0.0141,10,5,0
63,3261.0,99.0,80.0,119.0,119.0,139.0,165.5272,84.537,85.8429,76.3217,83.0136,119.0,119.0,0.0,0.0,0.213,0.2765,0.017,8,2,0
64,1685.0,52.0,139.0,159.0,159.0,179.0,198.142,848.0908,104.8094,91.9959,83.182,159.0,159.0,6001.0,0.0,0.0351,0.0766,0.014,10,2,0
65,7653.0,236.0,80.0,139.0,139.0,119.0,256.9679,284.3554,191.5124,71.8366,76.5914,139.0,139.0,0.0,0.0,0.2326,0.2216,0.0139,4,3,0
66,10388.0,317.0,99.0,80.0,80.0,179.0,337.9778,213.8019,422.3565,82.1736,90.2718,80.0,80.0,0.0,0.0,0.0892,0.1487,0.0132,5,2,0
67,2860.0,87.0,20.0,179.0,179.0,140.0,1123.4996,167.0397,149.4824,988.7498,48.7571,399.0,399.0,0.0,399.0,1.5777,1.7037,0.0512,1,2,0
68,2539.0,78.0,139.0,299.0,518.0,279.0,112.5722,153.5008,449.3607,304.2606,301.7317,179.0,179.0,1434.0,11140.0,0.421,0.948,0.0045,6,1,0
69,490.0,15.0,258.0,99.0,99.0,298.0,104.1561,142.0079,78.1025,27.0601,15.7877,99.0,99.0,0.0,0.0,0.1383,0.1383,0.0105,3,2,0
70,2983.0,91.0,199.0,239.0,239.0,299.0,1214.4073,156.1802,148.0304,33.9485,42.6058,239.0,239.0,0.0,319.0,-0.1024,0.0116,0.0213,5,3,0
71,9322.0,289.0,139.0,99.0,99.0,99.0,191.1675,190.9097,144.8862,50.3314,69.464,199.0,199.0,6363.0,4116.0,0.1172,0.1167,0.0096,4,3,0
72,10598.0,324.0,80.0,80.0,80.0,139.0,249.2007,688.3931,274.3319,50.2245,30.104,179.0,179.0,0.0,179.0,0.4497,0.4452,0.0312,9,6,0
73,1771.0,55.0,139.0,199.0,199.0,258.0,97.751,318.2267,53.9351,47.363,41.8629,199.0,199.0,0.0,0.0,0.1079,0.4533,0.0335,2,4,0
74,216.0,6.0,159.0,258.0,258.0,139.0,119.5094,302.0348,183.1338,60.208,41.0183,258.0,258.0,0.0,258.0,0.059,0.126,0.0347,5,4,0
75,6639.0,197.0,119.0,80.0,80.0,80.0,224.2733,330.276,249.1907,25.4018,42.2966,80.0,80.0,0.0,80.0,0.1686,0.1795,0.015,3,1,0
76,3747.0,119.0,80.0,219.0,219.0,139.0,173.1134,105.7946,244.5976,85.5716,100.6541,219.0,219.0,0.0,0.0,0.3173,0.3143,0.0608,2,1,0
77,260.0,8.0,0.0,139.0,139.0,238.0,0.0,145.0078,0.0,85.4196,86.419,139.0,139.0,0.0,0.0,-0.0881,0.0959,0.0279,1,1,0
78,7578.0,231.0,219.0,298.0,298.0,99.0,799.2723,37.1652,851.1498,65.123,43.8321,219.0,219.0,0.0,0.0,0.3207,0.3127,0.0367,8,1,0
79,7084.0,215.0,99.0,199.0,199.0,139.0,159.7568,99.5691,235.0191,83.9345,92.3052,278.0,278.0,0.0,835.0,0.1708,0.4063,0.0501,5,1,0
80,2522.0,78.0,339.0,199.0,378.0,179.0,88.0525,70.0071,111.7229,32.7185,216.037,378.0,189.0,1255.0,0.0,1.0005,0.9915,0.0095,10,1,0
81,8204.0,256.0,139.0,159.0,159.0,239.0,144.5078,91.0014,116.4302,37.7922,47.0664,159.0,159.0,0.0,0.0,0.3554,0.3329,0.0136,1,4,0
82,6566.0,194.0,139.0,80.0,160.0,119.0,135.5083,159.8132,97.1854,40.5123,50.6014,99.0,99.0,0.0,99.0,0.162,0.419,0.01,8,6,0
83,377.0,11.0,179.0,99.0,278.0,219.0,722.2557,222.2082,782.3094,57.0022,21.9659,259.0,129.5,0.0,1074.0,0.0539,0.0859,0.0239,2,2,0
84,8643.0,274.0,179.0,199.0,199.0,139.0,138.4783,719.9424,148.1216,15.6285,27.6812,199.0,199.0,0.0,199.0,-0.0272,0.9383,0.0432,10,3,0
85,9833.0,303.0,119.0,139.0,139.0,99.0,112.6421,213.1695,147.8716,98.8585,77.1314,139.0,139.0,0.0,0.0,0.1525,0.2395,0.0272,6,1,0
86,775.0,23.0,537.0,219.0,219.0,99.0,105.5047,174.5287,117.3797,56.8001,69.9321,219.0,219.0,0.0,0.0,0.1351,0.1396,0.0338,6,1,0
87,1448.0,44.0,219.0,139.0,139.0,99.0,151.8634,99.8424,80.3617,76.7366,66.3363,80.0,80.0,656.0,676.0,0.2671,0.3776,0.0054,8,7,0
88,535.0,17.0,139.0,99.0,99.0,179.0,322.1401,137.0912,232.2154,85.1587,68.1561,99.0,99.0,0.0,0.0,0.1618,0.1968,0.0214,2,6,0
89,2746.0,83.0,259.0,199.0,199.0,159.0,137.5009,193.5568,72.3395,53.584,48.2545,159.0,159.0,0.0,159.0,1.3035,1.011,0.0159,10,2,0
90,8069.0,251.0,219.0,159.0,338.0,258.0,91.0179,89.7622,119.5031,28.4297,50.5099,338.0,169.0,0.0,0.0,0.2458,0.0073,0.07,5,1,0
91,451.0,14.0,219.0,298.0,298.0,159.0,98.7142,373.9803,139.4346,42.0595,48.0885,298.0,298.0,2007.0,298.0,0.0143,0.0823,0.0351,1,6,0
92,9467.0,293.0,99.0,80.0,80.0,99.0,120.9566,351.8114,255.002,124.501,120.6172,198.0,99.0,0.0,198.0,0.2636,0.3266,0.0138,8,3,0
93,1777.0,56.0,80.0,139.0,139.0,159.0,107.7926,119.5073,181.5957,72.3343,75.4752,139.0,139.0,0.0,0.0,0.0073,0.0949,0.0209,3,1,0
94,3168.0,97.0,0.0,159.0,159.0,179.0,0.0,78.8495,0.0,24.9098,28.0401,159.0,159.0,0.0,1074.0,0.7921,1.1726,0.0307,2,1,0
95,1361.0,42.0,238.0,99.0,99.0,99.0,222.1041,123.5364,165.7739,48.3141,50.0849,99.0,99.0,0.0,0.0,0.1812,0.8872,0.0106,9,2,0
96,3145.0,96.0,219.0,339.0,339.0,199.0,256.6384,89.0505,246.5461,38.3438,87.6028,339.0,339.0,0.0,0.0,0.1386,-0.3184,0.0436,3,2,0
97,2736.0,83.0,1036.0,359.0,359.0,359.0,50.4232,98.0816,147.5568,51.7325,34.0331,359.0,359.0,0.0,418.0,0.4335,0.972,0.0359,7,1,0
98,5956.0,177.0,199.0,298.0,298.0,199.0,209.1997,123.3876,282.6889,74.0304,66.1287,298.0,298.0,0.0,0.0,0.1711,0.2546,0.0466,5,1,0
99,1486.0,44.0,139.0,278.0,278.0,179.0,425.2473,205.0274,462.0444,57.6888,37.1652,159.0,159.0,0.0,318.0,0.1331,0.2486,0.0107,8,1,0
100,10006.0,306.0,199.0,139.0,139.0,99.0,196.5229,527.5341,338.7152,141.1427,144.0139,159.0,159.0,0.0,1431.0,0.143,0.1875,0.0106,1,2,0
101,10381.0,317.0,238.0,80.0,80.0,99.0,60.8543,312.8011,169.071,100.2622,70.0803,80.0,80.0,1052.0,0.0,-0.0088,0.1352,0.0132,1,1,0
102,1436.0,44.0,139.0,199.0,199.0,199.0,118.0042,430.0814,153.0621,37.4233,36.5274,139.0,139.0,0.0,477.0,0.1386,0.2076,0.0093,1,4,0
103,9900.0,304.0,219.0,139.0,139.0,99.0,394.5257,343.3402,208.1178,185.529,186.6715,159.0,159.0,0.0,954.0,0.0915,0.1205,0.0129,3,4,0
104,6598.0,195.0,99.0,139.0,139.0,139.0,128.8187,904.0781,66.3702,53.8516,64.5155,139.0,139.0,0.0,0.0,0.014,0.3931,0.0315,10,9,0
105,8383.0,263.0,119.0,119.0,536.0,179.0,259.3318,112.54,384.4268,143.3911,187.6499,477.0,159.0,0.0,0.0,0.2802,0.2802,0.1067,1,1,0
106,8542.0,270.0,179.0,99.0,99.0,139.0,73.0924,95.2575,31.4006,35.8469,29.904,99.0,99.0,0.0,259.0,0.1507,0.2232,0.0278,5,2,0
107,1404.0,43.0,258.0,139.0,139.0,99.0,71.0862,89.7622,71.5542,14.1156,26.5,139.0,139.0,0.0,0.0,0.1787,0.2322,0.0115,10,4,0
108,3682.0,115.0,119.0,139.0,337.0,80.0,397.0532,319.1414,477.6829,83.8824,123.0742,337.0,112.3333,0.0,0.0,0.2135,0.2485,0.0686,7,1,0
109,5200.0,157.0,100.0,199.0,199.0,139.0,100.5,79.6994,85.235,44.3001,35.0892,199.0,199.0,378.0,0.0,0.1168,0.1458,0.0205,6,3,0
110,9224.0,289.0,99.0,80.0,80.0,159.0,277.2819,504.9802,205.061,78.4873,83.7511,80.0,80.0,80.0,198.0,0.1952,0.2037,0.0039,1,5,0
111,3734.0,118.0,99.0,219.0,219.0,99.0,225.1089,173.5115,137.0328,90.4461,78.4347,219.0,219.0,0.0,0.0,0.3623,0.3768,0.0681,2,2,0
112,2587.0,78.0,199.0,279.0,279.0,199.0,320.3986,211.1711,171.0497,157.2872,139.0081,319.0,319.0,11655.0,4861.0,0.4825,0.6525,0.008,6,2,0
113,1769.0,55.0,159.0,139.0,139.0,139.0,39.8811,86.1423,77.4145,42.5265,53.4813,139.0,139.0,0.0,139.0,0.1023,0.4533,0.0234,2,2,0
114,2972.0,91.0,179.0,120.0,120.0,20.0,94.5331,503.1073,34.0,102.7485,96.6294,120.0,120.0,0.0,0.0,1.1076,0.0316,0.0107,2,6,0
115,6789.0,203.0,99.0,119.0,119.0,219.0,217.0052,143.0428,155.9295,63.6946,70.859,119.0,119.0,417.0,337.0,0.2184,0.2729,0.0122,9,6,0
116,10837.0,334.0,199.0,139.0,139.0,239.0,107.5186,487.3287,110.1136,6.3246,12.3794,139.0,139.0,0.0,0.0,0.25,0.253,0.023,1,5,0
117,4067.0,130.0,239.0,139.0,278.0,199.0,278.2175,131.4201,220.8189,57.8662,62.2435,139.0,139.0,0.0,0.0,0.1636,0.4321,0.0128,6,3,0
118,411.0,12.0,119.0,119.0,119.0,238.0,149.1208,149.0252,143.0559,6.0828,7.433,119.0,119.0,0.0,0.0,0.2658,0.3083,0.0215,8,7,0
119,9391.0,291.0,179.0,159.0,159.0,99.0,385.5208,229.8097,287.0436,95.0842,104.6542,159.0,159.0,0.0,0.0,0.1537,0.2497,0.0248,4,7,0
120,3950.0,127.0,80.0,219.0,219.0,238.0,91.4289,122.602,34.8281,82.609,76.5131,219.0,219.0,0.0,219.0,0.1886,0.2141,0.029,4,3,0
121,6067.0,179.0,139.0,179.0,179.0,159.0,110.5271,181.6549,73.6817,50.0849,46.7386,179.0,179.0,0.0,0.0,0.2841,0.3516,0.0192,7,5,0
122,10369.0,316.0,99.0,99.0,99.0,139.0,181.0532,384.5208,178.6197,37.0742,29.8329,139.0,139.0,377.0,139.0,0.3988,0.1898,0.0258,8,3,0
123,3382.0,103.0,139.0,179.0,179.0,179.0,252.2623,645.9106,158.0791,89.405,85.0368,179.0,179.0,0.0,0.0,-0.014,0.1595,0.0249,6,7,0
124,8316.0,259.0,199.0,80.0,80.0,139.0,181.5991,192.6266,113.0708,65.0,63.3344,80.0,80.0,0.0,0.0,0.1054,0.1984,0.015,8,2,0
125,165.0,5.0,278.0,397.0,397.0,99.0,701.9238,204.1378,802.202,97.7663,97.8174,219.0,219.0,0.0,298.0,0.1855,0.1215,0.0196,9,1,0
126,2829.0,86.0,179.0,20.0,20.0,239.0,100.3606,54.5206,84.119,21.6391,55.491,219.0,219.0,458.0,697.0,0.8257,-0.1013,0.0249,4,4,0
127,9167.0,287.0,119.0,139.0,139.0,139.0,215.0145,367.0766,157.0509,57.0548,78.5,139.0,139.0,0.0,0.0,0.1752,0.2002,0.0142,10,4,0
128,3788.0,121.0,219.0,159.0,159.0,119.0,177.5028,264.0928,112.272,69.3542,62.3258,159.0,159.0,0.0,0.0,0.2923,0.2908,0.0479,2,3,0
129,4260.0,134.0,179.0,179.0,278.0,219.0,124.0363,753.9513,27.2029,109.8954,215.0285,278.0,139.0,0.0,0.0,0.254,0.409,0.0144,9,6,0
130,7822.0,240.0,80.0,99.0,99.0,219.0,243.4184,311.5903,172.4181,85.8836,100.1312,119.0,119.0,0.0,337.0,0.0781,-0.1019,0.0114,4,3,0
131,9125.0,286.0,80.0,139.0,139.0,119.0,47.8539,1116.3301,130.4301,88.1036,67.0168,139.0,139.0,0.0,0.0,0.2052,0.1462,0.0154,10,1,0
132,10882.0,336.0,139.0,139.0,139.0,179.0,142.5175,229.5049,79.404,61.7191,46.2952,139.0,139.0,0.0,1314.0,0.0835,0.1315,0.0119,1,2,0
133,6304.0,185.0,139.0,139.0,139.0,119.0,577.1449,88.7426,655.5151,76.6551,78.578,80.0,80.0,219.0,0.0,0.1625,0.1335,0.0118,3,1,0
134,9487.0,293.0,298.0,139.0,139.0,99.0,494.3099,137.1313,540.0037,51.9351,47.1301,99.0,99.0,4690.0,297.0,0.1446,0.1306,0.0069,7,3,0
135,1805.0,57.0,99.0,99.0,99.0,99.0,670.9257,62.476,692.7518,39.6989,39.6548,99.0,99.0,1272.0,0.0,0.1129,0.2743,0.011,8,4,0
136,3740.0,118.0,119.0,199.0,199.0,119.0,67.9283,170.0007,129.2478,59.6657,72.8011,199.0,199.0,0.0,199.0,0.0313,0.4338,0.0618,6,1,0
137,766.0,23.0,179.0,219.0,219.0,139.0,324.2873,132.417,398.5273,75.71,74.5604,219.0,219.0,0.0,0.0,0.1296,0.1296,0.0338,2,1,0
138,583.0,18.0,199.0,99.0,99.0,119.0,254.9338,245.2249,183.1338,75.898,43.2897,139.0,139.0,0.0,0.0,0.1978,0.7263,0.0229,6,3,0
139,4559.0,142.0,159.0,239.0,239.0,139.0,120.2341,541.4596,27.8568,93.0013,100.505,239.0,239.0,0.0,0.0,0.1347,0.0997,0.0172,2,5,0
140,9207.0,288.0,119.0,159.0,159.0,179.0,146.1677,490.7178,268.1511,115.0174,118.2381,159.0,159.0,0.0,159.0,0.1107,0.2302,0.0228,5,4,0
141,2180.0,70.0,219.0,119.0,119.0,219.0,94.0479,584.2418,89.0505,44.2069,45.6098,119.0,119.0,0.0,0.0,0.0184,-0.0316,0.0097,5,5,0
142,5950.0,177.0,99.0,179.0,179.0,358.0,95.4005,166.7041,143.0105,51.0906,47.9401,179.0,179.0,0.0,0.0,0.1816,0.1711,0.028,3,1,0
143,793.0,24.0,139.0,278.0,278.0,99.0,236.9346,164.931,267.5556,38.7072,33.8711,278.0,278.0,0.0,0.0,0.1566,0.0681,0.0307,4,1,0
144,1231.0,38.0,199.0,159.0,159.0,298.0,101.2978,194.2897,130.1768,39.6138,47.8592,258.0,129.0,0.0,0.0,0.0258,0.0418,0.0396,6,1,0
145,2105.0,66.0,139.0,239.0,239.0,99.0,217.7918,184.954,171.8139,126.5948,130.4186,199.0,199.0,299.0,279.0,0.1224,0.1649,0.0199,1,1,0
146,4308.0,135.0,219.0,139.0,219.0,99.0,133.3604,742.0197,120.0042,20.1556,68.244,219.0,109.5,0.0,0.0,0.231,0.188,0.0135,10,8,0
147,6599.0,195.0,80.0,80.0,80.0,119.0,904.0781,174.4484,928.4724,35.3058,48.7083,139.0,139.0,1389.0,0.0,0.125,0.3931,0.0315,5,1,0
148,6043.0,179.0,199.0,179.0,179.0,179.0,111.809,123.0447,52.345,66.9104,77.6466,179.0,179.0,0.0,0.0,0.1731,0.2416,0.0192,2,2,0
149,3593.0,111.0,278.0,219.0,219.0,239.0,87.4786,130.0779,110.6029,80.878,95.1381,219.0,219.0,0.0,0.0,0.247,0.8115,0.0353,4,1,0
150,6565.0,194.0,99.0,139.0,139.0,80.0,322.8258,135.5083,256.0176,75.2861,81.0015,318.0,159.0,0.0,318.0,0.162,0.419,0.0322,8,5,0
151,8437.0,266.0,0.0,100.0,100.0,199.0,132.0947,154.7361,16.9706,118.7824,117.5936,159.0,159.0,358.0,159.0,0.0182,0.0437,0.0291,1,2,0
152,3833.0,123.0,99.0,119.0,119.0,119.0,108.0104,27.7218,160.8509,72.4707,56.4358,119.0,119.0,1351.0,139.0,0.4038,0.2388,0.0264,3,1,0
153,4556.0,142.0,219.0,99.0,99.0,179.0,147.2175,226.7918,45.0111,103.2727,108.5104,99.0,99.0,0.0,0.0,0.0602,0.1347,0.0071,2,2,0
154,5281.0,159.0,159.0,159.0,318.0,199.0,699.2582,240.0047,793.7487,100.1212,43.9915,318.0,159.0,0.0,0.0,-0.0077,0.1433,0.0232,5,1,0
