,model,data_name,sample_len,class_disbalance,f1_test_raw_disbalanced,f1_test_raw_population,f1_test_ctgan_on_disbalanced,f1_test_ctgan_on_population
34,Random Forest,bank-marketing,100,1.0,0.6,0.6475392670157069,0.4146341463414634,0.5051408135896289
35,Neural Net,bank-marketing,100,1.0,0.75,0.6847868092232384,0.13793103448275862,0.1459119496855346
36,AdaBoost,bank-marketing,100,1.0,0.6363636363636364,0.6901609289060908,0.7333333333333333,0.7495997438360551
37,Naive Bayes,bank-marketing,100,1.0,0.6,0.6393229166666666,0.4358974358974359,0.4192373087199417
38,QDA,bank-marketing,100,1.0,0.5555555555555556,0.6467213114754098,0.45569620253164556,0.4164625183733464
39,XGB,bank-marketing,100,1.0,0.4444444444444444,0.6669346733668342,0.5663716814159292,0.5748542880932557
40,Nearest Neighbors,bank-marketing,200,0.2,0.25,0.4253490870032223,0.11764705882352941,0.2758235622557231
41,Decision Tree,bank-marketing,200,0.2,0.8571428571428571,0.5686839577329491,0.0,0.008169327887114742
42,Random Forest,bank-marketing,200,0.2,0.4,0.32903805813605036,0.0,0.0
43,Neural Net,bank-marketing,200,0.2,0.0,0.1485427765590724,0.08,0.08275382475660639
44,AdaBoost,bank-marketing,200,0.2,0.5714285714285714,0.5959067110899572,0.0,0.0
45,Naive Bayes,bank-marketing,200,0.2,0.8888888888888888,0.6211947814145113,0.3333333333333333,0.1838309292183831
46,QDA,bank-marketing,200,0.2,1.0,0.5244489485685331,0.3076923076923077,0.20494233937397036
47,XGB,bank-marketing,200,0.2,0.5714285714285714,0.5084140744518103,0.3333333333333333,0.11256906077348067
48,Nearest Neighbors,bank-marketing,200,0.4,0.3076923076923077,0.37365743357829284,0.27848101265822783,0.34178168130489334
49,Decision Tree,bank-marketing,200,0.4,0.0,0.2517263025737602,0.045454545454545456,0.01654081265731751
50,Random Forest,bank-marketing,200,0.4,0.0,0.1495390918402185,0.04878048780487805,0.0007462686567164179
51,Neural Net,bank-marketing,200,0.4,0.4864864864864865,0.6835443037974683,0.375,0.2976054732041049
52,AdaBoost,bank-marketing,200,0.4,0.0,0.26394644564870895,0.0,0.0
53,Naive Bayes,bank-marketing,200,0.4,0.0,0.3946413619871616,0.17391304347826086,0.07188612099644127
54,QDA,bank-marketing,200,0.4,0.18181818181818182,0.3914491948917268,0.16666666666666666,0.08646748681898067
55,XGB,bank-marketing,200,0.4,0.5333333333333333,0.46539566466440324,0.13043478260869565,0.12421539478031055
56,Nearest Neighbors,bank-marketing,200,0.6,0.3,0.5682131373449701,0.46511627906976744,0.5145422603943002
57,Decision Tree,bank-marketing,200,0.6,0.38095238095238093,0.652027027027027,0.4578313253012048,0.4158640226628895
58,Random Forest,bank-marketing,200,0.6,0.3157894736842105,0.5486900642609985,0.32432432432432434,0.33911483253588515
59,Neural Net,bank-marketing,200,0.6,0.5909090909090909,0.6847101077475628,0.5868263473053892,0.6722951844903065
60,AdaBoost,bank-marketing,200,0.6,0.42105263157894735,0.6042894178647183,0.574468085106383,0.5165354330708661
61,Naive Bayes,bank-marketing,200,0.6,0.5,0.5789227166276346,0.28205128205128205,0.23023402909550916
62,QDA,bank-marketing,200,0.6,0.47619047619047616,0.600909090909091,0.2597402597402597,0.23348017621145375
63,XGB,bank-marketing,200,0.6,0.47619047619047616,0.6457638425617078,0.41739130434782606,0.46602806861216306
64,Nearest Neighbors,bank-marketing,200,0.8,0.6285714285714286,0.6475690942102078,0.5032258064516129,0.47574666384240627
65,Decision Tree,bank-marketing,200,0.8,0.6666666666666666,0.6996962794229309,0.04819277108433735,0.04915070473436935
66,Random Forest,bank-marketing,200,0.8,0.5454545454545454,0.6156278229448962,0.07142857142857142,0.06379928315412187
67,Neural Net,bank-marketing,200,0.8,0.6923076923076923,0.6856922483609719,0.5098039215686274,0.5595030091244418
68,AdaBoost,bank-marketing,200,0.8,0.6666666666666666,0.7069207622868606,0.15730337078651685,0.1742904841402337
69,Naive Bayes,bank-marketing,200,0.8,0.7222222222222222,0.7149950347567031,0.4715447154471545,0.43909774436090226
70,QDA,bank-marketing,200,0.8,0.6470588235294118,0.6784884948279502,0.47244094488188976,0.4580265095729013
71,XGB,bank-marketing,200,0.8,0.7647058823529411,0.7196954518132639,0.5314685314685315,0.5093033318909563
72,Nearest Neighbors,bank-marketing,200,1.0,0.7142857142857143,0.7013901108569418,0.5188679245283019,0.5478927203065134
73,Decision Tree,bank-marketing,200,1.0,0.6363636363636364,0.695552273100279,0.7107438016528925,0.7110193243841274
74,Random Forest,bank-marketing,200,1.0,0.7619047619047619,0.7715144018377805,0.6810035842293907,0.6781287485005998
75,Neural Net,bank-marketing,200,1.0,0.631578947368421,0.6809105939208954,0.6616541353383458,0.6153384361398769
76,AdaBoost,bank-marketing,200,1.0,0.7142857142857143,0.7616788321167883,0.6963562753036437,0.6898203592814371
77,Naive Bayes,bank-marketing,200,1.0,0.7567567567567568,0.7018025078369906,0.6611570247933884,0.6509815675108647
78,QDA,bank-marketing,200,1.0,0.7368421052631579,0.6946061311602638,0.6854838709677419,0.6424996208099499
79,XGB,bank-marketing,200,1.0,0.6666666666666666,0.7693913043478261,0.6857142857142857,0.6288045183558205
80,Nearest Neighbors,bank-marketing,300,0.2,0.26666666666666666,0.3717451523545706,0.06779661016949153,0.2981878088962109
81,Decision Tree,bank-marketing,300,0.2,0.5263157894736842,0.41370360757851027,0.0,0.04017531044558072
82,Random Forest,bank-marketing,300,0.2,0.0,0.12572599931670653,0.0,0.0007462686567164179
83,Neural Net,bank-marketing,300,0.2,0.15384615384615385,0.12746386333771353,0.058823529411764705,0.04946236559139785
84,AdaBoost,bank-marketing,300,0.2,0.2,0.2552116234996841,0.0,0.0
85,Naive Bayes,bank-marketing,300,0.2,0.5714285714285714,0.5428358579587782,0.358974358974359,0.27117572692793934
86,QDA,bank-marketing,300,0.2,0.5,0.4647281921618205,0.358974358974359,0.3046030274945938
87,XGB,bank-marketing,300,0.2,0.2,0.2677546086430946,0.11764705882352941,0.16699933466400532
88,Nearest Neighbors,bank-marketing,300,0.4,0.4444444444444444,0.5577060931899641,0.2809917355371901,0.43104643104643103
89,Decision Tree,bank-marketing,300,0.4,0.5882352941176471,0.6218525179856115,0.273972602739726,0.16341627437794218
90,Random Forest,bank-marketing,300,0.4,0.7142857142857143,0.4710547184773989,0.06349206349206349,0.033003300330033
91,Neural Net,bank-marketing,300,0.4,0.3829787234042553,0.68656330749354,0.19047619047619047,0.1964117091595845
92,AdaBoost,bank-marketing,300,0.4,0.7142857142857143,0.5862320603259548,0.2222222222222222,0.18772802653399667
93,Naive Bayes,bank-marketing,300,0.4,0.5555555555555556,0.6293393057110862,0.3898305084745763,0.4185240217929668
94,QDA,bank-marketing,300,0.4,0.8421052631578947,0.6206099815157117,0.39655172413793105,0.43191332184191084
95,XGB,bank-marketing,300,0.4,0.8235294117647058,0.5719161384690395,0.45217391304347826,0.41647712913823604
96,Nearest Neighbors,bank-marketing,300,0.6,0.48484848484848486,0.6465920651068159,0.36065573770491804,0.4496155402670983
97,Decision Tree,bank-marketing,300,0.6,0.5714285714285714,0.711864406779661,0.020833333333333332,0.016739446870451237
98,Random Forest,bank-marketing,300,0.6,0.5714285714285714,0.6992320819112628,0.043010752688172046,0.03715846994535519
99,Neural Net,bank-marketing,300,0.6,0.5423728813559322,0.6859642351730348,0.304,0.2533803644914756
100,AdaBoost,bank-marketing,300,0.6,0.5714285714285714,0.7505414451663713,0.02197802197802198,0.045884923525127456
101,Naive Bayes,bank-marketing,300,0.6,0.5161290322580645,0.6633790737564322,0.49206349206349204,0.48174793498534507
102,QDA,bank-marketing,300,0.6,0.5806451612903226,0.6409975935243929,0.4732824427480916,0.4772245762711864
103,XGB,bank-marketing,300,0.6,0.5806451612903226,0.7208182912154031,0.3333333333333333,0.4100072868593636
104,Nearest Neighbors,bank-marketing,300,0.8,0.6792452830188679,0.637186343068696,0.4365079365079365,0.4959301171332142
105,Decision Tree,bank-marketing,300,0.8,0.8,0.7427806463951042,0.35714285714285715,0.35614179719703215
106,Random Forest,bank-marketing,300,0.8,0.8333333333333334,0.7111566018423746,0.2328767123287671,0.15669421487603305
107,Neural Net,bank-marketing,300,0.8,0.746268656716418,0.66728280961183,0.09523809523809523,0.1043649491302921
108,AdaBoost,bank-marketing,300,0.8,0.8214285714285714,0.7207280080889787,0.7064220183486238,0.659047619047619
109,Naive Bayes,bank-marketing,300,0.8,0.6382978723404256,0.5891996142719382,0.4745762711864407,0.40893193435566316
110,QDA,bank-marketing,300,0.8,0.6530612244897959,0.5969718817591925,0.4659090909090909,0.42256519425226186
111,XGB,bank-marketing,300,0.8,0.8666666666666667,0.7271287128712871,0.5446808510638298,0.5375050140393101
112,Nearest Neighbors,bank-marketing,300,1.0,0.6666666666666666,0.6728797763280522,0.5209003215434084,0.5333808082606374
113,Decision Tree,bank-marketing,300,1.0,0.6792452830188679,0.7418663549581141,0.6904109589041096,0.7048192771084337
114,Random Forest,bank-marketing,300,1.0,0.7457627118644068,0.768904593639576,0.6684491978609626,0.6918257756563246
115,Neural Net,bank-marketing,300,1.0,0.6666666666666666,0.6924154492695618,0.24338624338624337,0.19657348963029755
116,AdaBoost,bank-marketing,300,1.0,0.6538461538461539,0.7664492078285182,0.6728971962616822,0.7016042780748664
117,Naive Bayes,bank-marketing,300,1.0,0.6666666666666666,0.717626252701906,0.6626506024096386,0.7120283779425992
118,QDA,bank-marketing,300,1.0,0.6122448979591837,0.7112718505123569,0.6626865671641791,0.7112619163031184
119,XGB,bank-marketing,300,1.0,0.6666666666666666,0.7553272450532724,0.5904255319148937,0.5918305597579425
120,Nearest Neighbors,bank-marketing,400,0.2,0.0,0.33931196706850925,0.19230769230769232,0.32721789394320183
121,Decision Tree,bank-marketing,400,0.2,0.2,0.3605980650835532,0.0,0.0044526901669758815
122,Random Forest,bank-marketing,400,0.2,0.0,0.20805812417437253,0.0,0.0
123,Neural Net,bank-marketing,400,0.2,0.13793103448275862,0.540140584535701,0.0,0.016224188790560472
124,AdaBoost,bank-marketing,400,0.2,0.15384615384615385,0.4914712153518124,0.0,0.0
125,Naive Bayes,bank-marketing,400,0.2,0.375,0.6056826056826057,0.22641509433962265,0.3314147228112693
126,QDA,bank-marketing,400,0.2,0.2857142857142857,0.5538155605269699,0.18867924528301888,0.33353510895883776
127,XGB,bank-marketing,400,0.2,0.26666666666666666,0.4535073409461664,0.0784313725490196,0.10957960027567196
128,Nearest Neighbors,bank-marketing,400,0.4,0.5384615384615384,0.5120845921450151,0.3157894736842105,0.4365645866912273
129,Decision Tree,bank-marketing,400,0.4,0.5517241379310345,0.6099128040385497,0.024390243902439025,0.015515330624307351
130,Random Forest,bank-marketing,400,0.4,0.47619047619047616,0.5328947368421053,0.0,0.007434944237918215
131,Neural Net,bank-marketing,400,0.4,0.5333333333333333,0.6344619365969377,0.06451612903225806,0.08539944903581267
132,AdaBoost,bank-marketing,400,0.4,0.5384615384615384,0.6537605696484201,0.0,0.0
133,Naive Bayes,bank-marketing,400,0.4,0.5,0.5802229762481823,0.1941747572815534,0.26044525770051846
134,QDA,bank-marketing,400,0.4,0.5,0.575860397479399,0.20952380952380953,0.25138291333743085
135,XGB,bank-marketing,400,0.4,0.5925925925925926,0.6533363289148506,0.3103448275862069,0.3766990291262136
136,Nearest Neighbors,bank-marketing,400,0.6,0.5,0.6818708929261693,0.4031620553359684,0.4835209825997953
137,Decision Tree,bank-marketing,400,0.6,0.6153846153846154,0.7365581036808634,0.08888888888888889,0.09337452797802952
138,Random Forest,bank-marketing,400,0.6,0.3783783783783784,0.6912346450135332,0.0,0.013318534961154272
139,Neural Net,bank-marketing,400,0.6,0.4444444444444444,0.4321988114532685,0.4919093851132686,0.5651046169808058
140,AdaBoost,bank-marketing,400,0.6,0.5945945945945946,0.7589763177998472,0.2684563758389262,0.343042071197411
141,Naive Bayes,bank-marketing,400,0.6,0.5777777777777777,0.7292511988196237,0.18518518518518517,0.30876605248464545
142,QDA,bank-marketing,400,0.6,0.5454545454545454,0.7177802117561154,0.21686746987951808,0.3044337757695566
143,XGB,bank-marketing,400,0.6,0.5853658536585366,0.7377812257564003,0.41706161137440756,0.4421965317919075
144,Nearest Neighbors,bank-marketing,400,0.8,0.5,0.6796905222437137,0.46601941747572817,0.48549129477686614
145,Decision Tree,bank-marketing,400,0.8,0.6944444444444444,0.7091800981079187,0.4774774774774775,0.5219435736677116
146,Random Forest,bank-marketing,400,0.8,0.7536231884057971,0.7478930010993038,0.10588235294117647,0.13089906992766104
147,Neural Net,bank-marketing,400,0.8,0.5617977528089888,0.6718446601941748,0.48753462603878117,0.574649936352064
148,AdaBoost,bank-marketing,400,0.8,0.75,0.7652011225444341,0.22950819672131148,0.33864661654135336
149,Naive Bayes,bank-marketing,400,0.8,0.6666666666666666,0.6135181975736569,0.4036697247706422,0.4318119704837387
150,QDA,bank-marketing,400,0.8,0.6181818181818182,0.591304347826087,0.4336283185840708,0.4934261407579273
151,XGB,bank-marketing,400,0.8,0.6956521739130435,0.7507748404740201,0.42911877394636017,0.4893048128342246
152,Nearest Neighbors,bank-marketing,400,1.0,0.6933333333333334,0.7095458758109361,0.5333333333333333,0.5154125981236837
153,Decision Tree,bank-marketing,400,1.0,0.7012987012987013,0.7227704338112083,0.7168831168831169,0.7235693501454898
154,Random Forest,bank-marketing,400,1.0,0.8378378378378378,0.774517087667162,0.6465753424657534,0.6594351207531723
155,Neural Net,bank-marketing,400,1.0,0.725,0.743455497382199,0.6450116009280742,0.6594443473702604
156,AdaBoost,bank-marketing,400,1.0,0.7857142857142857,0.7790154509522098,0.7679671457905544,0.7346938775510204
157,Naive Bayes,bank-marketing,400,1.0,0.7647058823529411,0.6889971579374746,0.4807692307692308,0.45102840352595497
158,QDA,bank-marketing,400,1.0,0.7323943661971831,0.6853404211817624,0.47435897435897434,0.4358910272431892
159,XGB,bank-marketing,400,1.0,0.8051948051948052,0.7771639042357275,0.6513761467889908,0.6211748153359128
160,Nearest Neighbors,bank-marketing,500,0.2,0.45454545454545453,0.4367626886145405,0.1348314606741573,0.2785234899328859
161,Decision Tree,bank-marketing,500,0.2,0.3333333333333333,0.5308704453441295,0.0,0.0014914243102162564
162,Random Forest,bank-marketing,500,0.2,0.11764705882352941,0.2764278952350899,0.0,0.0
163,Neural Net,bank-marketing,500,0.2,0.7,0.7074202229911573,0.45614035087719296,0.4913527600094764
164,AdaBoost,bank-marketing,500,0.2,0.5925925925925926,0.5968688845401174,0.0,0.0
165,Naive Bayes,bank-marketing,500,0.2,0.6896551724137931,0.6116709632059996,0.2033898305084746,0.23433950016228497
166,QDA,bank-marketing,500,0.2,0.6896551724137931,0.5941542884523239,0.2033898305084746,0.2134387351778656
167,XGB,bank-marketing,500,0.2,0.64,0.5412844036697247,0.10909090909090909,0.0837176303653778
168,Nearest Neighbors,bank-marketing,500,0.4,0.5641025641025641,0.5483793517406963,0.33035714285714285,0.4571678321678322
169,Decision Tree,bank-marketing,500,0.4,0.5294117647058824,0.5395301843899974,0.05504587155963303,0.06695156695156695
170,Random Forest,bank-marketing,500,0.4,0.5625,0.5078451882845189,0.0196078431372549,0.0155096011816839
171,Neural Net,bank-marketing,500,0.4,0.5882352941176471,0.5596026490066225,0.23469387755102042,0.3772584919296555
172,AdaBoost,bank-marketing,500,0.4,0.631578947368421,0.6562293274531422,0.0392156862745098,0.0344574780058651
173,Naive Bayes,bank-marketing,500,0.4,0.5714285714285714,0.5880444856348471,0.23776223776223776,0.26089534538986064
174,QDA,bank-marketing,500,0.4,0.46511627906976744,0.5822429906542056,0.2585034013605442,0.2673296285463586
175,XGB,bank-marketing,500,0.4,0.6842105263157895,0.6197904540162981,0.3240223463687151,0.3786707882534776
176,Nearest Neighbors,bank-marketing,500,0.6,0.5573770491803278,0.6063368055555556,0.4,0.46474483833268404
177,Decision Tree,bank-marketing,500,0.6,0.6666666666666666,0.6670851642603055,0.1984732824427481,0.2431472081218274
178,Random Forest,bank-marketing,500,0.6,0.5490196078431373,0.6722246599385695,0.3611111111111111,0.3068602334187304
179,Neural Net,bank-marketing,500,0.6,0.7666666666666667,0.6936439811976293,0.5,0.5529342951842464
180,AdaBoost,bank-marketing,500,0.6,0.6666666666666666,0.6881083368599238,0.20532319391634982,0.24588919807740955
181,Naive Bayes,bank-marketing,500,0.6,0.5555555555555556,0.6017861231967025,0.07725321888412018,0.1223463687150838
182,QDA,bank-marketing,500,0.6,0.5384615384615384,0.5812922789829718,0.08403361344537816,0.11538461538461539
183,XGB,bank-marketing,500,0.6,0.631578947368421,0.7155815359806491,0.37822349570200575,0.44553870395903095
184,Nearest Neighbors,bank-marketing,500,0.8,0.5538461538461539,0.6584004959702418,0.3620689655172414,0.4475434456125295
185,Decision Tree,bank-marketing,500,0.8,0.6567164179104478,0.7225354851254132,0.04524886877828054,0.12296444001329346
186,Random Forest,bank-marketing,500,0.8,0.6197183098591549,0.7227281534586321,0.05825242718446602,0.05010893246187364
187,Neural Net,bank-marketing,500,0.8,0.576271186440678,0.6839056681836988,0.636963696369637,0.6959706959706959
188,AdaBoost,bank-marketing,500,0.8,0.7012987012987013,0.7635807192042846,0.0,0.00595459620394492
189,Naive Bayes,bank-marketing,500,0.8,0.5,0.5990675990675991,0.42483660130718953,0.42923076923076925
190,QDA,bank-marketing,500,0.8,0.4444444444444444,0.5854235683861808,0.40924092409240925,0.41668826120756675
191,XGB,bank-marketing,500,0.8,0.6388888888888888,0.7474402730375427,0.2939068100358423,0.38399162961025374
192,Nearest Neighbors,bank-marketing,500,1.0,0.6341463414634146,0.6733098866744822,0.5344129554655871,0.5165587419056429
193,Decision Tree,bank-marketing,500,1.0,0.7111111111111111,0.7270588235294118,0.5557894736842105,0.5897285686389377
194,Random Forest,bank-marketing,500,1.0,0.782608695652174,0.7564671101256467,0.545,0.5488842880147228
195,Neural Net,bank-marketing,500,1.0,0.5074626865671642,0.5194931773879142,0.6785185185185185,0.6969780981425007
196,AdaBoost,bank-marketing,500,1.0,0.6987951807228916,0.7234381217668125,0.7028112449799196,0.7018195321203119
197,Naive Bayes,bank-marketing,500,1.0,0.7126436781609196,0.7031852302698316,0.5257142857142857,0.45375408052230687
198,QDA,bank-marketing,500,1.0,0.6666666666666666,0.6836755859780128,0.48554913294797686,0.460841768779968
199,XGB,bank-marketing,500,1.0,0.7446808510638298,0.7417644831503218,0.47745358090185674,0.4879250862493839
200,Nearest Neighbors,bank-marketing,1000,0.2,0.35714285714285715,0.4245125348189415,0.23478260869565218,0.33668341708542715
201,Decision Tree,bank-marketing,1000,0.2,0.41379310344827586,0.45147099257629913,0.05405405405405406,0.04992867332382311
202,Random Forest,bank-marketing,1000,0.2,0.2608695652173913,0.1917808219178082,0.0,0.0007462686567164179
203,Neural Net,bank-marketing,1000,0.2,0.35294117647058826,0.514751552795031,0.096,0.07611731843575419
204,AdaBoost,bank-marketing,1000,0.2,0.4375,0.5360613810741688,0.0,0.0
205,Naive Bayes,bank-marketing,1000,0.2,0.46511627906976744,0.5615292712066906,0.2564102564102564,0.281119714115545
206,QDA,bank-marketing,1000,0.2,0.4186046511627907,0.548130277442702,0.2608695652173913,0.2999123063431745
207,XGB,bank-marketing,1000,0.2,0.20689655172413793,0.5252837977296182,0.17391304347826086,0.20650095602294455
208,Nearest Neighbors,bank-marketing,1000,0.4,0.5316455696202531,0.5928521373510862,0.3146067415730337,0.43465111255130695
209,Decision Tree,bank-marketing,1000,0.4,0.625,0.6966390222610214,0.0196078431372549,0.002228826151560178
210,Random Forest,bank-marketing,1000,0.4,0.4411764705882353,0.5856299212598425,0.0,0.00669393826701376
211,Neural Net,bank-marketing,1000,0.4,0.38095238095238093,0.42818574514038876,0.4475043029259897,0.6140105078809107
212,AdaBoost,bank-marketing,1000,0.4,0.5333333333333333,0.6516488620529494,0.0,0.0
213,Naive Bayes,bank-marketing,1000,0.4,0.5263157894736842,0.619570187471422,0.18775510204081633,0.24142233312538988
214,QDA,bank-marketing,1000,0.4,0.5,0.6113416320885201,0.20967741935483872,0.26452410383189123
215,XGB,bank-marketing,1000,0.4,0.5822784810126582,0.6747733804996684,0.23890784982935154,0.3474025974025974
216,Nearest Neighbors,bank-marketing,1000,0.6,0.6456692913385826,0.6433354936271333,0.462992125984252,0.4842495367510809
217,Decision Tree,bank-marketing,1000,0.6,0.6833333333333333,0.6633972358448507,0.0,0.0014919806042521448
218,Random Forest,bank-marketing,1000,0.6,0.6890756302521008,0.6991207377224963,0.019543973941368076,0.02564102564102564
219,Neural Net,bank-marketing,1000,0.6,0.5555555555555556,0.5223247692691444,0.5714285714285714,0.6865046102263203
220,AdaBoost,bank-marketing,1000,0.6,0.71875,0.7227620425883813,0.0,0.0
221,Naive Bayes,bank-marketing,1000,0.6,0.5585585585585585,0.622414185042055,0.20418848167539266,0.19543147208121828
222,QDA,bank-marketing,1000,0.6,0.5321100917431193,0.6060887752730653,0.2268041237113402,0.20996552804763396
223,XGB,bank-marketing,1000,0.6,0.7101449275362319,0.7366912366912367,0.37401574803149606,0.36669213139801377
224,Nearest Neighbors,bank-marketing,1000,0.8,0.6710526315789473,0.6777090401117541,0.4241645244215938,0.46694627521469945
225,Decision Tree,bank-marketing,1000,0.8,0.68,0.7416087388282026,0.019464720194647202,0.007380073800738007
226,Random Forest,bank-marketing,1000,0.8,0.7341772151898734,0.7615793470007594,0.06666666666666667,0.05185451926539431
227,Neural Net,bank-marketing,1000,0.8,0.7386363636363636,0.7421174908728841,0.6345811051693404,0.6904055390702275
228,AdaBoost,bank-marketing,1000,0.8,0.7417218543046358,0.7640803465931469,0.01485148514851485,0.014058453570107288
229,Naive Bayes,bank-marketing,1000,0.8,0.6967741935483871,0.683265306122449,0.5594855305466238,0.537890044576523
230,QDA,bank-marketing,1000,0.8,0.6666666666666666,0.674937965260546,0.5669781931464174,0.5648818137964303
231,XGB,bank-marketing,1000,0.8,0.6842105263157895,0.7579233910169162,0.39285714285714285,0.4330524344569288
232,Nearest Neighbors,bank-marketing,1000,1.0,0.7263681592039801,0.7117546199276052,0.5187566988210075,0.5134435371439953
233,Decision Tree,bank-marketing,1000,1.0,0.7244897959183674,0.7433940105695831,0.5776699029126213,0.537564162389174
234,Random Forest,bank-marketing,1000,1.0,0.7619047619047619,0.7795866105725261,0.47297297297297297,0.4286447638603696
235,Neural Net,bank-marketing,1000,1.0,0.7692307692307693,0.7603911980440098,0.5606361829025845,0.5480332829046899
236,AdaBoost,bank-marketing,1000,1.0,0.7685185185185185,0.7736518007090876,0.5,0.47047195453422286
237,Naive Bayes,bank-marketing,1000,1.0,0.6914893617021277,0.6739941932807963,0.48590604026845635,0.4638993710691824
238,QDA,bank-marketing,1000,1.0,0.6810810810810811,0.6649756922426548,0.4946524064171123,0.4604135148764498
239,XGB,bank-marketing,1000,1.0,0.7450980392156863,0.7690875232774674,0.56,0.5498861047835991
240,Nearest Neighbors,bank-marketing,2000,0.2,0.4057971014492754,0.457687074829932,0.2465753424657534,0.3038659097053258
241,Decision Tree,bank-marketing,2000,0.2,0.55,0.6115264046298529,0.1111111111111111,0.09968409968409968
242,Random Forest,bank-marketing,2000,0.2,0.09302325581395349,0.12138123474014649,0.0,0.0022371364653243847
243,Neural Net,bank-marketing,2000,0.2,0.5132743362831859,0.6729599328718271,0.1444043321299639,0.1795121951219512
244,AdaBoost,bank-marketing,2000,0.2,0.46153846153846156,0.5417306707629288,0.029411764705882353,0.004467609828741623
245,Naive Bayes,bank-marketing,2000,0.2,0.4657534246575342,0.5388104838709677,0.20588235294117646,0.17985611510791366
246,QDA,bank-marketing,2000,0.2,0.48,0.5296343001261034,0.21818181818181817,0.18389305510270623
247,XGB,bank-marketing,2000,0.2,0.5128205128205128,0.6004854368932039,0.1285140562248996,0.16350947158524426
248,Nearest Neighbors,bank-marketing,2000,0.4,0.5174825174825175,0.5885687293339632,0.3269476372924649,0.4287332880126898
249,Decision Tree,bank-marketing,2000,0.4,0.5882352941176471,0.6971428571428572,0.03309692671394799,0.042522522522522525
