,V1,V6,V10,V12,V13,V14,V15,Class
54,39,26233.0,2,462.0,1,-1.0,0,0
55,40,858.0,21,173.0,1,-1.0,0,0
56,62,1381.0,19,1020.0,1,-1.0,0,0
57,33,15.0,22,199.0,1,-1.0,0,0
58,28,-395.0,30,141.0,4,-1.0,0,0
59,44,3.0,6,147.0,1,-1.0,0,0
60,41,402.0,17,114.0,17,-1.0,0,0
61,35,20.0,7,51.0,2,-1.0,0,0
62,37,0.0,15,280.0,6,-1.0,0,0
63,37,332.0,14,190.0,2,84.0,7,0
64,73,7111.0,12,284.0,1,182.0,1,0
65,50,-111.0,5,19.0,11,-1.0,0,0
66,34,0.0,2,83.0,1,-1.0,0,0
67,43,0.0,12,3.0,1,-1.0,0,0
68,49,378.0,9,189.0,2,-1.0,0,0
69,53,-634.0,19,695.0,3,-1.0,0,0
70,40,2502.0,18,205.0,1,-1.0,0,0
71,55,856.0,29,101.0,4,-1.0,0,0
72,58,3108.0,21,53.0,1,-1.0,0,0
73,42,-78.0,29,10.0,23,-1.0,0,0
74,38,35.0,17,156.0,1,273.0,3,0
75,50,1005.0,17,188.0,3,-1.0,0,0
76,55,538.0,13,306.0,1,67.0,2,0
77,55,-171.0,15,30.0,2,-1.0,0,0
78,57,8403.0,20,11.0,11,-1.0,0,0
79,33,422.0,6,406.0,3,-1.0,0,0
80,45,193.0,29,116.0,2,-1.0,0,0
81,40,5.0,18,219.0,3,-1.0,0,0
82,51,2506.0,30,210.0,3,-1.0,0,0
83,31,259.0,19,287.0,1,-1.0,0,0
84,32,202.0,4,429.0,1,201.0,1,0
85,49,0.0,14,151.0,2,-1.0,0,0
86,32,2313.0,9,99.0,26,-1.0,0,0
87,37,1699.0,9,63.0,1,-1.0,0,0
88,55,467.0,25,129.0,5,-1.0,0,0
89,30,-2.0,9,136.0,2,-1.0,0,0
90,49,126.0,19,184.0,2,-1.0,0,0
91,42,2189.0,16,67.0,5,149.0,2,0
92,31,374.0,28,49.0,4,-1.0,0,0
93,33,3655.0,19,183.0,20,-1.0,0,0
94,51,3962.0,2,267.0,1,-1.0,0,0
95,33,488.0,5,332.0,2,-1.0,0,0
96,44,-299.0,23,268.0,1,-1.0,0,0
97,33,1050.0,26,304.0,4,-1.0,0,0
98,47,7.0,8,175.0,2,-1.0,0,0
99,30,126.0,23,75.0,10,-1.0,0,0
100,35,366.0,29,480.0,9,-1.0,0,0
101,41,0.0,25,286.0,2,-1.0,0,0
102,53,1421.0,13,225.0,2,-1.0,0,0
103,28,8263.0,2,267.0,1,-1.0,0,0
104,36,346.0,5,202.0,1,-1.0,0,0
105,39,532.0,31,786.0,2,-1.0,0,0
106,52,316.0,12,463.0,3,-1.0,0,0
107,35,121.0,5,245.0,5,-1.0,0,0
108,32,-1.0,8,228.0,2,-1.0,0,0
109,25,1141.0,5,718.0,1,347.0,1,0
110,57,1631.0,2,254.0,2,261.0,3,0
111,35,1085.0,27,130.0,10,-1.0,0,0
112,38,531.0,29,214.0,3,226.0,7,0
113,70,3230.0,24,112.0,1,-1.0,0,0
114,28,4.0,27,133.0,5,-1.0,0,0
115,44,756.0,18,65.0,1,130.0,2,0
116,34,1228.0,13,99.0,2,105.0,10,0
117,43,0.0,29,73.0,4,-1.0,0,0
118,43,0.0,7,75.0,3,-1.0,0,0
119,36,25.0,27,127.0,4,-1.0,0,0
120,54,489.0,20,280.0,4,287.0,3,0
121,23,486.0,3,87.0,1,-1.0,0,0
122,37,887.0,14,553.0,2,-1.0,0,0
123,39,3655.0,20,422.0,1,-1.0,0,0
124,26,1842.0,22,611.0,1,-1.0,0,0
125,58,0.0,29,535.0,2,-1.0,0,0
126,33,543.0,7,244.0,2,-1.0,0,0
127,60,0.0,19,83.0,2,-1.0,0,0
128,58,1013.0,30,341.0,5,-1.0,0,0
129,35,430.0,17,611.0,1,270.0,4,0
130,36,163.0,6,311.0,2,-1.0,0,0
131,34,0.0,21,123.0,2,-1.0,0,0
132,32,203.0,7,219.0,2,-1.0,0,0
133,37,3429.0,26,81.0,8,-1.0,0,0
134,33,1737.0,30,524.0,2,-1.0,0,0
135,46,0.0,26,208.0,2,-1.0,0,0
136,42,4014.0,21,149.0,4,186.0,1,0
137,28,981.0,24,225.0,1,-1.0,0,0
138,26,543.0,30,169.0,3,-1.0,0,0
139,31,859.0,2,80.0,1,-1.0,0,0
140,32,-667.0,18,152.0,7,349.0,1,0
141,36,669.0,9,91.0,1,-1.0,0,0
142,49,917.0,11,165.0,6,-1.0,0,0
143,57,567.0,2,87.0,2,265.0,3,0
144,54,0.0,6,138.0,3,-1.0,0,0
145,53,234.0,7,103.0,2,-1.0,0,0
146,39,519.0,26,117.0,1,-1.0,0,0
147,29,-43.0,9,484.0,1,-1.0,0,0
148,31,22.0,22,122.0,5,-1.0,0,0
149,40,170.0,8,361.0,3,-1.0,0,0
150,32,1868.0,27,186.0,16,-1.0,0,0
151,36,-272.0,4,53.0,6,-1.0,0,0
152,28,0.0,27,290.0,1,-1.0,0,0
153,29,2904.0,27,33.0,1,-1.0,0,0
154,60,2008.0,7,105.0,2,-1.0,0,0
155,37,859.0,10,154.0,4,-1.0,0,0
156,67,3377.0,23,77.0,2,-1.0,0,0
157,29,0.0,15,91.0,2,-1.0,0,0
158,27,202.0,21,678.0,1,-1.0,0,0
159,37,27.0,6,80.0,1,-1.0,0,0
160,41,-100.0,16,20.0,21,-1.0,0,0
161,49,177.0,28,90.0,1,204.0,1,0
162,33,99.0,31,192.0,3,-1.0,0,0
163,34,0.0,12,117.0,4,-1.0,0,0
164,25,109.0,16,306.0,1,-1.0,0,0
165,30,1177.0,8,220.0,2,-1.0,0,0
166,48,3940.0,16,298.0,6,-1.0,0,0
167,30,363.0,16,136.0,8,-1.0,0,0
168,40,407.0,2,200.0,1,271.0,1,0
169,50,716.0,5,444.0,2,-1.0,0,0
170,42,1628.0,5,119.0,1,195.0,8,0
171,33,152.0,13,351.0,2,-1.0,0,0
172,30,167.0,3,237.0,2,-1.0,0,0
173,35,523.0,16,95.0,1,-1.0,0,0
174,49,1743.0,18,68.0,1,-1.0,0,0
175,54,316.0,14,240.0,1,-1.0,0,0
176,47,2540.0,18,110.0,5,-1.0,0,0
177,46,2148.0,8,176.0,4,-1.0,0,0
178,41,1567.0,1,291.0,2,-1.0,0,0
179,60,5003.0,4,125.0,5,-1.0,0,0
180,47,780.0,20,447.0,2,-1.0,0,0
181,40,11.0,5,83.0,3,-1.0,0,0
182,46,167.0,19,155.0,3,-1.0,0,0
183,26,518.0,7,189.0,3,-1.0,0,0
184,73,250.0,31,245.0,4,-1.0,0,0
185,59,0.0,22,460.0,1,-1.0,0,0
186,29,874.0,15,68.0,5,-1.0,0,0
187,54,11.0,14,452.0,2,-1.0,0,0
188,49,358.0,13,176.0,3,-1.0,0,0
189,47,0.0,14,122.0,2,-1.0,0,0
190,27,941.0,11,124.0,1,-1.0,0,0
191,25,-282.0,25,198.0,1,-1.0,0,0
192,36,532.0,14,603.0,1,-1.0,0,0
193,33,644.0,11,99.0,2,-1.0,0,0
194,25,-392.0,7,346.0,1,-1.0,0,0
195,52,4711.0,28,228.0,2,-1.0,0,0
196,41,692.0,30,249.0,3,245.0,3,0
197,34,3773.0,21,287.0,1,-1.0,0,0
198,56,0.0,15,103.0,1,-1.0,0,0
199,29,102.0,12,154.0,1,182.0,5,0
200,35,7218.0,14,224.0,3,-1.0,0,0
201,60,872.0,28,37.0,5,-1.0,0,0
202,58,745.0,20,23.0,1,-1.0,0,0
203,48,275.0,5,34.0,1,-1.0,0,0
204,31,603.0,17,185.0,2,319.0,2,0
205,28,20.0,30,455.0,2,-1.0,0,0
206,23,292.0,13,437.0,2,-1.0,0,0
207,48,3766.0,6,206.0,2,-1.0,0,0
208,34,107.0,18,110.0,2,-1.0,0,0
209,40,251.0,30,153.0,6,-1.0,0,0
210,30,855.0,3,235.0,2,-1.0,0,0
211,59,0.0,8,425.0,6,-1.0,0,0
212,24,1611.0,28,418.0,1,-1.0,0,0
213,34,-200.0,25,248.0,5,-1.0,0,0
214,32,545.0,18,192.0,1,180.0,1,0
215,55,505.0,17,58.0,1,316.0,1,0
216,36,1257.0,8,108.0,9,101.0,1,0
217,40,518.0,17,84.0,1,-1.0,0,0
218,29,262.0,9,134.0,1,-1.0,0,0
219,46,374.0,4,23.0,5,7.0,2,0
220,27,3342.0,30,761.0,2,330.0,4,0
221,39,6.0,19,286.0,2,-1.0,0,0
222,39,158.0,6,354.0,2,-1.0,0,0
223,42,3780.0,19,104.0,3,-1.0,0,0
224,35,935.0,28,259.0,2,-1.0,0,0
225,53,453.0,17,148.0,2,-1.0,0,0
226,37,466.0,11,92.0,2,-1.0,0,0
227,88,648.0,3,318.0,1,-1.0,0,0
228,36,0.0,25,106.0,1,205.0,2,0
229,32,390.0,23,85.0,1,-1.0,0,0
230,32,144.0,19,260.0,11,-1.0,0,0
231,39,4619.0,21,104.0,1,-1.0,0,0
232,29,55.0,10,235.0,1,-1.0,0,0
233,35,299.0,19,1059.0,5,-1.0,0,0
234,37,442.0,20,51.0,4,349.0,1,0
235,44,2887.0,13,182.0,1,-1.0,0,0
236,35,0.0,2,184.0,1,-1.0,0,0
237,35,2518.0,9,400.0,1,-1.0,0,0
238,28,158.0,24,77.0,1,-1.0,0,0
239,64,1977.0,24,160.0,2,-1.0,0,0
240,46,-119.0,22,151.0,3,-1.0,0,0
241,38,0.0,12,133.0,1,-1.0,0,0
242,51,734.0,5,17.0,1,-1.0,0,0
243,31,438.0,12,130.0,2,-1.0,0,0
244,56,0.0,13,112.0,4,-1.0,0,0
245,42,717.0,4,152.0,6,-1.0,0,0
246,39,-53.0,28,189.0,3,-1.0,0,0
247,31,39.0,15,123.0,5,-1.0,0,0
248,48,308.0,14,125.0,5,-1.0,0,0
249,45,183.0,29,27.0,4,-1.0,0,0
250,33,-342.0,28,528.0,2,-1.0,0,0
251,47,-598.0,28,239.0,4,-1.0,0,0
252,32,518.0,18,34.0,7,-1.0,0,0
253,51,176.0,1,8.0,1,687.0,2,0
254,35,348.0,15,323.0,3,-1.0,0,0
255,35,876.0,20,318.0,1,-1.0,0,0
256,45,766.0,25,59.0,15,-1.0,0,0
257,39,-455.0,23,542.0,2,-1.0,0,0
258,53,8112.0,15,75.0,1,146.0,1,0
259,45,0.0,9,74.0,1,-1.0,0,0
260,37,744.0,21,161.0,3,-1.0,0,0
261,28,1925.0,20,147.0,1,90.0,1,0
262,39,2985.0,14,91.0,2,-1.0,0,0
263,54,24.0,28,404.0,1,-1.0,0,0
264,37,11391.0,21,103.0,1,-1.0,0,0
265,48,1567.0,20,77.0,3,-1.0,0,0
266,32,3829.0,20,267.0,1,-1.0,0,0
267,32,390.0,5,100.0,1,243.0,1,0
268,34,581.0,21,176.0,4,-1.0,0,0
269,48,252.0,7,261.0,5,-1.0,0,0
270,40,1584.0,21,661.0,1,-1.0,0,0
271,37,1795.0,5,511.0,1,-1.0,0,0
272,27,15.0,21,177.0,1,-1.0,0,0
273,39,640.0,13,220.0,4,370.0,2,0
274,38,571.0,4,275.0,3,-1.0,0,0
275,36,0.0,14,636.0,6,-1.0,0,0
276,51,383.0,20,164.0,1,-1.0,0,0
277,38,1610.0,17,76.0,6,-1.0,0,0
278,41,0.0,2,20.0,1,-1.0,0,0
279,35,620.0,17,57.0,2,-1.0,0,0
280,43,3872.0,9,225.0,2,-1.0,0,0
281,37,449.0,29,59.0,4,-1.0,0,0
282,35,-84.0,9,19.0,11,-1.0,0,0
283,31,0.0,21,243.0,2,-1.0,0,0
284,34,865.0,21,51.0,7,-1.0,0,0
285,39,1062.0,20,10.0,4,-1.0,0,0
286,31,297.0,16,357.0,2,-1.0,0,0
287,53,256.0,2,202.0,1,-1.0,0,0
288,47,1493.0,31,89.0,5,-1.0,0,0
289,35,244.0,21,54.0,10,-1.0,0,0
290,34,2583.0,28,64.0,1,95.0,2,0
291,47,0.0,14,81.0,2,-1.0,0,0
292,49,229.0,8,219.0,2,-1.0,0,0
293,35,0.0,9,115.0,4,-1.0,0,0
294,39,157.0,13,290.0,1,-1.0,0,0
295,51,437.0,6,109.0,1,-1.0,0,0
296,59,434.0,12,63.0,3,-1.0,0,0
297,55,1695.0,3,69.0,2,-1.0,0,0
298,39,0.0,28,93.0,25,-1.0,0,0
299,48,595.0,24,464.0,1,-1.0,0,0
300,42,-887.0,2,349.0,4,-1.0,0,0
301,30,199.0,28,131.0,7,-1.0,0,0
302,69,473.0,20,333.0,1,-1.0,0,0
303,50,38.0,9,42.0,1,-1.0,0,0
304,55,73.0,5,142.0,2,-1.0,0,0
305,29,370.0,29,119.0,2,251.0,5,0
306,32,-311.0,18,218.0,2,-1.0,0,0
307,55,274.0,9,7.0,5,-1.0,0,0
308,29,115.0,29,61.0,2,-1.0,0,0
309,48,191.0,17,222.0,1,326.0,1,0
310,28,36.0,14,158.0,3,-1.0,0,0
311,60,6684.0,5,173.0,1,-1.0,0,0
312,30,127.0,18,16.0,6,368.0,1,0
313,43,54.0,30,62.0,2,-1.0,0,0
314,57,79.0,1,60.0,1,592.0,2,0
315,32,-370.0,27,98.0,1,-1.0,0,0
316,31,162.0,11,0.0,2,-1.0,0,0
317,36,1198.0,9,278.0,3,-1.0,0,0
318,34,0.0,24,60.0,1,-1.0,0,0
319,60,174.0,15,241.0,1,364.0,1,0
320,41,406.0,9,2462.0,1,-1.0,0,0
321,34,934.0,18,909.0,3,-1.0,0,0
322,29,-194.0,7,127.0,1,-1.0,0,0
323,39,1889.0,29,108.0,2,-1.0,0,0
324,54,841.0,8,284.0,4,-1.0,0,0
325,31,0.0,14,215.0,1,-1.0,0,0
326,45,356.0,11,212.0,2,-1.0,0,0
327,28,164.0,9,92.0,7,-1.0,0,0
328,25,669.0,24,367.0,2,-1.0,0,0
329,37,-196.0,7,207.0,1,-1.0,0,0
330,39,394.0,29,551.0,2,-1.0,0,0
331,32,530.0,3,170.0,1,-1.0,0,0
332,40,-199.0,30,109.0,1,-1.0,0,0
333,33,968.0,28,95.0,10,-1.0,0,0
334,41,15302.0,19,121.0,4,-1.0,0,0
335,39,947.0,8,124.0,2,-1.0,0,0
336,55,719.0,11,221.0,6,284.0,29,0
337,40,252.0,15,103.0,6,-1.0,0,0
338,42,-97.0,3,216.0,4,271.0,5,0
339,34,0.0,20,150.0,1,-1.0,0,0
340,33,70.0,21,333.0,3,-1.0,0,0
341,41,0.0,3,858.0,1,-1.0,0,0
342,28,1010.0,6,911.0,1,336.0,2,0
343,27,1414.0,2,95.0,1,-1.0,0,0
344,32,1568.0,12,161.0,6,-1.0,0,0
345,45,171.0,12,539.0,1,-1.0,0,0
346,28,27.0,27,294.0,1,-1.0,0,0
347,31,2951.0,17,115.0,1,-1.0,0,0
348,40,0.0,17,728.0,3,-1.0,0,0
349,51,311.0,14,122.0,2,-1.0,0,0
350,54,0.0,16,101.0,6,-1.0,0,0
351,23,250.0,12,166.0,2,-1.0,0,0
352,43,140.0,18,192.0,7,-1.0,0,0
353,42,250.0,12,213.0,3,-1.0,0,0
354,29,-28.0,12,393.0,1,-1.0,0,0
355,33,716.0,14,234.0,2,-1.0,0,0
356,26,0.0,27,107.0,2,-1.0,0,0
357,59,741.0,19,194.0,2,152.0,2,0
358,60,1210.0,11,231.0,2,-1.0,0,0
359,36,0.0,17,222.0,3,-1.0,0,0
360,31,416.0,11,33.0,2,-1.0,0,0
361,56,1346.0,28,240.0,3,-1.0,0,0
362,38,1255.0,17,151.0,2,171.0,2,0
363,59,2443.0,20,8.0,8,-1.0,0,0
364,48,1600.0,18,448.0,1,-1.0,0,0
365,30,6683.0,30,180.0,1,-1.0,0,0
366,37,171.0,7,250.0,3,-1.0,0,0
367,37,523.0,19,21.0,1,-1.0,0,0
368,43,991.0,14,111.0,2,-1.0,0,0
369,36,3254.0,28,300.0,3,-1.0,0,0
370,43,1625.0,21,56.0,1,-1.0,0,0
371,53,122.0,27,98.0,1,-1.0,0,0
372,26,84.0,29,70.0,3,-1.0,0,0
373,34,1434.0,21,50.0,2,-1.0,0,0
374,49,1040.0,8,474.0,2,-1.0,0,0
375,28,-511.0,2,82.0,1,-1.0,0,0
376,60,5421.0,18,458.0,4,-1.0,0,0
377,56,334.0,15,127.0,2,-1.0,0,0
378,38,367.0,20,128.0,2,-1.0,0,0
379,34,457.0,30,67.0,2,-1.0,0,0
380,29,26.0,28,45.0,1,-1.0,0,0
381,31,0.0,29,183.0,3,-1.0,0,0
382,32,43.0,21,173.0,2,-1.0,0,0
383,40,60.0,15,460.0,3,352.0,6,0
384,31,2577.0,13,611.0,2,-1.0,0,0
385,34,75.0,25,111.0,1,-1.0,0,0
386,53,321.0,5,123.0,1,-1.0,0,0
387,31,378.0,23,421.0,2,-1.0,0,0
388,47,1149.0,15,82.0,2,-1.0,0,0
389,40,105.0,9,161.0,1,-1.0,0,0
390,57,818.0,28,208.0,1,-1.0,0,0
391,45,507.0,21,304.0,2,-1.0,0,0
392,34,992.0,4,301.0,1,88.0,2,0
393,47,432.0,13,334.0,2,-1.0,0,0
394,42,600.0,17,277.0,3,-1.0,0,0
395,26,97.0,27,382.0,1,-1.0,0,0
396,31,159.0,23,533.0,1,-1.0,0,0
397,58,5505.0,23,317.0,4,-1.0,0,0
398,36,7343.0,17,78.0,1,-1.0,0,0
399,57,282.0,7,261.0,12,-1.0,0,0
400,32,415.0,23,76.0,2,-1.0,0,0
401,59,0.0,17,192.0,1,-1.0,0,0
402,36,0.0,5,245.0,2,8.0,1,0
403,28,913.0,27,580.0,2,-1.0,0,0
404,43,438.0,17,355.0,2,-1.0,0,0
405,29,1489.0,20,399.0,1,-1.0,0,0
406,36,396.0,13,67.0,5,-1.0,0,0
407,40,8259.0,8,254.0,4,-1.0,0,0
408,28,0.0,27,548.0,1,-1.0,0,0
409,34,338.0,9,162.0,2,-1.0,0,0
410,30,451.0,5,173.0,1,274.0,3,0
411,47,459.0,28,226.0,1,-1.0,0,0
412,29,22008.0,28,139.0,2,-1.0,0,0
413,67,1430.0,12,88.0,3,-1.0,0,0
414,35,113.0,14,318.0,3,-1.0,0,0
415,56,659.0,2,148.0,1,188.0,3,0
416,35,3549.0,13,250.0,4,-1.0,0,0
417,52,5275.0,22,1029.0,3,-1.0,0,0
418,60,914.0,4,64.0,1,-1.0,0,0
419,31,540.0,21,227.0,3,-1.0,0,0
420,49,-849.0,27,197.0,1,-1.0,0,0
421,43,497.0,13,66.0,1,363.0,22,0
422,35,160.0,16,304.0,1,-1.0,0,0
423,45,1179.0,21,172.0,6,-1.0,0,0
424,32,0.0,19,303.0,3,-1.0,0,0
425,30,73.0,25,114.0,6,-1.0,0,0
426,57,7938.0,17,133.0,1,-1.0,0,0
427,34,10031.0,18,65.0,2,-1.0,0,0
428,38,658.0,4,328.0,2,-1.0,0,0
429,30,913.0,19,433.0,2,-1.0,0,0
430,32,1.0,10,143.0,1,-1.0,0,0
431,44,-68.0,25,121.0,4,-1.0,0,0
432,28,447.0,5,217.0,1,-1.0,0,0
433,51,1093.0,18,18.0,1,-1.0,0,0
434,40,7313.0,18,241.0,2,182.0,1,0
435,55,2043.0,18,655.0,1,-1.0,0,0
436,48,335.0,17,214.0,3,-1.0,0,0
437,38,67.0,28,74.0,1,239.0,2,0
438,35,-587.0,26,111.0,1,-1.0,0,0
439,46,633.0,12,236.0,10,-1.0,0,0
440,21,-42.0,10,5.0,1,-1.0,0,0
441,46,196.0,14,29.0,2,-1.0,0,0
442,52,26.0,13,215.0,1,-1.0,0,0
443,47,437.0,20,133.0,4,-1.0,0,0
444,30,33.0,25,396.0,1,-1.0,0,0
445,32,644.0,21,198.0,1,-1.0,0,0
446,45,77.0,26,99.0,3,-1.0,0,0
447,56,177.0,8,1040.0,1,-1.0,0,0
448,50,112.0,4,70.0,5,85.0,5,0
449,34,0.0,18,431.0,6,-1.0,0,0
450,32,-22.0,20,215.0,2,-1.0,0,0
451,25,137.0,24,281.0,3,-1.0,0,0
452,50,124.0,14,367.0,2,289.0,19,0
453,48,2106.0,17,499.0,2,195.0,1,0
454,40,0.0,29,245.0,3,-1.0,0,0
455,54,-1089.0,28,105.0,2,-1.0,0,0
456,24,11.0,27,114.0,4,-1.0,0,0
457,34,82.0,31,134.0,5,-1.0,0,0
458,58,226.0,14,306.0,2,-1.0,0,0
459,32,80.0,19,475.0,2,-1.0,0,0
460,29,1958.0,18,112.0,4,349.0,1,0
461,48,418.0,9,102.0,3,-1.0,0,0
462,33,0.0,18,199.0,1,-1.0,0,0
463,43,69.0,20,304.0,1,337.0,1,0
464,41,0.0,5,114.0,2,-1.0,0,0
465,34,395.0,11,150.0,2,364.0,8,0
466,31,5345.0,18,260.0,1,-1.0,0,0
467,49,7.0,17,50.0,1,-1.0,0,0
468,53,-200.0,6,161.0,1,-1.0,0,0
469,36,1057.0,5,383.0,2,-1.0,0,0
470,39,4313.0,18,272.0,2,-1.0,0,0
471,30,673.0,20,610.0,2,-1.0,0,0
472,43,0.0,17,110.0,1,-1.0,0,0
473,64,1370.0,12,174.0,1,-1.0,0,0
474,56,2395.0,12,150.0,2,-1.0,0,0
475,54,199.0,21,532.0,1,-1.0,0,0
476,50,-151.0,18,63.0,2,-1.0,0,0
477,51,260.0,9,183.0,2,-1.0,0,0
478,34,-17.0,15,319.0,7,-1.0,0,0
479,39,263.0,29,160.0,1,199.0,6,0
480,26,141.0,22,128.0,1,-1.0,0,0
481,40,-23.0,7,756.0,3,-1.0,0,0
482,37,0.0,18,77.0,2,-1.0,0,0
483,46,1000.0,18,96.0,11,-1.0,0,0
484,30,-97.0,14,255.0,1,356.0,1,0
485,31,25.0,21,169.0,5,-1.0,0,0
486,56,264.0,7,639.0,2,280.0,5,0
487,38,1514.0,21,160.0,3,120.0,3,0
488,36,53.0,18,64.0,7,-1.0,0,0
489,40,0.0,8,232.0,1,-1.0,0,0
490,49,24.0,27,168.0,3,-1.0,0,0
491,34,3.0,5,16.0,5,-1.0,0,0
492,35,4959.0,29,91.0,2,-1.0,0,0
493,54,0.0,29,46.0,1,-1.0,0,0
494,42,681.0,18,203.0,1,-1.0,0,0
495,57,485.0,2,79.0,2,187.0,2,0
496,61,50.0,22,213.0,5,-1.0,0,0
497,58,999.0,25,188.0,6,-1.0,0,0
498,49,3570.0,24,62.0,3,202.0,2,0
499,36,1869.0,21,122.0,2,-1.0,0,0
500,51,824.0,19,102.0,2,-1.0,0,0
501,27,662.0,30,47.0,1,-1.0,0,0
502,33,21.0,2,202.0,2,-1.0,0,0
503,47,183.0,13,144.0,1,-1.0,0,0
504,53,269.0,6,347.0,2,-1.0,0,0
505,30,346.0,3,135.0,1,-1.0,0,0
506,56,4309.0,9,465.0,6,-1.0,0,0
507,28,510.0,5,110.0,2,-1.0,0,0
508,40,0.0,21,43.0,1,185.0,2,0
509,35,1830.0,15,78.0,4,93.0,2,0
510,30,1390.0,20,552.0,4,-1.0,0,0
511,39,-405.0,8,177.0,1,-1.0,0,0
512,32,483.0,18,35.0,6,-1.0,0,0
513,37,1372.0,6,129.0,2,-1.0,0,0
514,32,4885.0,18,400.0,2,-1.0,0,0
515,57,0.0,30,585.0,1,-1.0,0,0
516,58,0.0,19,153.0,2,-1.0,0,0
517,37,88.0,2,608.0,1,-1.0,0,0
518,36,23.0,18,69.0,2,333.0,2,0
519,43,641.0,2,251.0,4,-1.0,0,0
520,36,4708.0,15,104.0,1,-1.0,0,0
521,26,993.0,8,152.0,1,-1.0,0,0
522,34,46.0,5,39.0,4,-1.0,0,0
523,47,-512.0,27,220.0,2,-1.0,0,0
524,40,369.0,6,79.0,2,-1.0,0,0
525,33,1388.0,31,158.0,1,202.0,3,0
526,35,3402.0,14,269.0,1,194.0,2,0
527,37,29.0,3,269.0,2,-1.0,0,0
528,26,2770.0,8,141.0,1,-1.0,0,0
529,33,130.0,25,121.0,8,-1.0,0,0
530,36,223.0,14,12.0,3,-1.0,0,0
531,43,-3372.0,29,386.0,2,-1.0,0,0
532,74,20422.0,12,90.0,2,-1.0,0,0
533,55,0.0,7,110.0,1,-1.0,0,0
534,31,-163.0,17,135.0,1,270.0,2,0
535,45,770.0,7,65.0,2,-1.0,0,0
536,39,270.0,3,116.0,1,-1.0,0,0
537,35,-371.0,13,358.0,2,-1.0,0,0
538,49,112.0,25,62.0,10,-1.0,0,0
539,20,330.0,20,159.0,2,-1.0,0,0
540,29,2121.0,16,281.0,1,342.0,2,0
541,34,16992.0,29,71.0,1,245.0,1,0
542,44,-73.0,28,80.0,9,-1.0,0,0
543,38,-1038.0,23,222.0,1,-1.0,0,0
544,35,3863.0,14,125.0,1,175.0,1,0
545,31,-13.0,9,260.0,3,-1.0,0,0
546,28,731.0,5,718.0,13,-1.0,0,0
547,33,585.0,17,131.0,1,-1.0,0,0
548,34,184.0,30,87.0,3,-1.0,0,0
549,29,89.0,22,120.0,1,-1.0,0,0
550,27,140.0,25,361.0,1,-1.0,0,0
551,61,5207.0,11,336.0,1,81.0,2,0
